address,label_spender,nametag,type,total_tx_count,lifespan_hours,tx_density,mediated_theft_count,direct_in_count,mediated_op_ratio,token_flow_ratio,sender_receiver_ratio,is_ghost,top1_gas_payer_ratio,high_value_ratio
0xff2e547b35263ca4bfe85782a1d7c387aa75d23d,0,,EOA,8,2810.523333,0.002846445,0,4,0,1,1.666666667,0,0,0
0x7794ab1b46e8c6e1ad1bd070a35bb3272cd51e8e,1,fake_phishing637645,CA,1,0,1,0,0,0,0,0,1,0,0
0xeee3d19bc8af9def1791e1ae32f9ca32b2ff5452,0,,EOA,280,2286.716667,0.122446302,171,0,1,0,0,0,0.989285714,0
0xf8c6383e7514d7ad080eafcee0a5659aaed0ffa1,0,,CA,48,5251.036667,0.009141052,0,21,0,0,9,0,0.851851852,1
0xdd066cf9111063b15980e054c3aa6d3fa4a590bb,0,,CA,204,144.62,1.410593279,0,0,0,0,0,0,0.024509804,0
0x33a71827145843a1c9c1717ec12a845aac788f47,0,,EOA,5,0.3,16.66666667,2,0,1,0,0,0,0.6,0
0xa7acf1692de0c7949502b91b1e1db8d0b5f94de4,0,,EOA,7,1061.693333,0.006593241,2,0,1,0,0,0,0.714285714,0
0xbbfdb34a039735c10ca30b278ae44da759286d34,1,fake_phishing987367,CA,1,0,1,0,0,0,0,0,1,0,0
0x785708fd66d11b365d0e4e5d3e2672bca9304133,1,fake_phishing637151,CA,1,0,1,0,0,0,0,0,1,0,0
0x69c13b5ea08224043fa17712169f57cfc01678d5,0,,EOA,4,0.246666667,16.21621622,1,0,1,0,0,0,0.75,0
0x893656ed3c39f378ccc46a4825d9d1feb18bee9a,1,fake_phishing657656,CA,1,0,1,0,0,0,0,0,1,0,0
0x725286e0f84c75581c6f07626e11ef268485b1a5,1,fake_phishing785509,CA,1,0,1,0,0,0,0,0,1,0,0
0x69512bbfccc6776d24540c1df82dfa8437d34921,0,,EOA,6,0.016666667,360,2,0,1,0,0,0,0.666666667,0
0x642383765184fc7a9fbbfd15531a52fd3d4b0ce0,0,,EOA,2,24.04333333,0.083183142,0,0,0,0,0,0,0.5,0
0xa79882a5bcd455c6e582dad43f3f3f2c9c8264eb,0,,CA,33559,12516.80333,2.681115865,0,4627,0,1.05878539,0.074074074,0,0.022530442,0.917384002
0x809c2abc4680f8f0eb9f951f6e4633f0fe304658,0,,EOA,3,1839.406667,0.001630961,1,0,1,0,0,0,0.666666667,0
0xc53e1b6b6e47f7a37acd5cdfc90bc3dbbe551439,1,fake_phishing679246,CA,1,0,1,0,0,0,0,0,1,0,0
0xcc45e58db67a0d2398455ef3fc9045fb5c1efeb0,1,fake_phishing740619,CA,1,0,1,0,0,0,0,0,1,0,0
0x8951686f235443febbc7441d27dbf61ef7661cb0,1,fake_phishing608005,CA,26,9.73,2.672147996,0,0,0,0,0,0,1,0
0xdddcf888d28ffc939c31ae82bfc3556c4ca12214,1,fake_phishing987948,CA,1,0,1,0,0,0,0,0,1,0,0
0x9694dcf5b6ccf6216b05fe64945f62603e2d2367,0,,CA,123,11632.02,0.01057426,0,39,0,0.333333333,2.307692308,0,0.366197183,0.980769231
0x6af335517224a4ab51e3c48e09920c6b5977724f,0,,EOA,5,0.77,6.493506494,3,0,1,0,0,0,0.8,0
0xa9f59ec54478c2604eb3917543df85dca9ed6324,0,,EOA,3,0.01,300,0,1,0,2,1,0,0,0
0xba297e1b477630f7daa005ca5160ca508ff71d9a,1,fake_phishing988629,CA,1,0,1,0,0,0,0,0,1,0,0
0x0b7c5aeb5da0ef97b6eaa19516cf53e7ef3b4d39,0,,EOA,166,3911.293333,0.042441204,86,1,1,0,1,0,0.987878788,0
0x9064368b241a83a60551630035a3594c569d6b70,0,,EOA,2,0.47,4.255319149,0,0,0,0,0,0,0.5,0
0x723106642e78e2284e2a1e8d6c382fef75639c71,0,,EOA,24,5685.296667,0.004221416,7,1,1,0,1,0,0.913043478,1
0x66dcfa82efefbb786bb4d240bb67860b31e66f8e,1,fake_phishing640406,CA,5,17.53,0.285225328,0,0,0,0,0,0,0.6,0
0x61ae1dbfb74306bde6764417619f64b218738f29,0,,EOA,2,7.436666667,0.268937696,0,0,0,0,0,0,0.5,0
0x6285f9e800428ab0d63033d91b756a81845237cf,1,fake_phishing638877,CA,1,0,1,0,0,0,0,0,1,0,0
0x4a30a812b13d17bfb987b8adfad5022fd1b8f116,1,fake_phishing640396,CA,5,19.92,0.251004016,0,0,0,0,0,0,0.6,0
0x2f08f4645d2fa1fb12d2db8531c0c2ea0268bde2,0,,CA,643,19485.35333,0.032999145,0,166,0,0.704819277,1.662337662,0,0.530555556,0.996466431
0x30b4c194aed2cf9c5079685ea625151e1fa99ff4,1,fake_phishing607819,CA,1,0,1,0,0,0,0,0,1,0,0
0xe3071e87a7e6dd19a911dbf1127ba9dd67aa6fc8,0,,CA,26,7030.17,0.003698346,0,0,0,0,0,0,0.1875,0
0x000059e8877d9ebd7e64a8efc97eca9d143b0000,1,fake_phishing740448,CA,352,1418.996667,0.248062598,0,21,0,2.047619048,1,0,0.348571429,0.390625
0x5da983c6c6b30201d1e6da1991fa1d43dac86131,1,fake_phishing637650,CA,1,0,1,0,0,0,0,0,1,0,0
0xb7c08d4c98e21e7d3e40087ee471908e2d2791e5,0,,EOA,15,2828.813333,0.005302577,0,11,0,0.363636364,3.666666667,0,0,0
0x96b8300007b8e10816c6d80d27f55739615b7a67,0,,CA,1475,3893.646667,0.378822252,0,0,0,0,0,0,0.173559322,0
0x15392211222b46a0ea85a9a800830486d144848d,2,fly: magpie router v3,CA,0,0,0,0,0,0,0,0,1,0,0
0xa3ef7673b9c571debcd1c89b7846e7b3f3939998,0,,EOA,161,20505.18,0.007851675,0,52,0,0.615384615,0.846153846,0,0.904761905,0.452380952
0x05df05e28edb6f7978f34517e18f799c6071cb55,0,,EOA,4,986.9966667,0.004052699,2,0,1,0,0,0,0.75,0
0xfd2b9a274d2a7f30df682216fe80078433dff711,1,fake_phishing987665,CA,1,0,1,0,0,0,0,0,1,0,0
0x7eb58821798a9b42e4afcb5db36a202be4162fc9,1,fake_phishing989685,CA,1,0,1,0,0,0,0,0,1,0,0
0x3228788ae78a69959633915d45cd7e393a0dfb54,0,,EOA,8,2810.616667,0.00284635,0,4,0,1,1.666666667,0,0,0
0x46c796542f3b55af420b76a5e2159fd983d2a35b,0,,EOA,2,6.646666667,0.300902708,0,0,0,0,0,0,0.5,0
0x00003cb2bd657866c7256a26883373cfbc710000,1,fake_phishing638105,CA,88,504.5966667,0.174396713,0,5,0,1.4,1,0,0.288888889,0.333333333
0xd40d4b0760ec14c92fa2a7e1d3f4ff5491b2aeff,1,fake_phishing987852,CA,1,0,1,0,0,0,0,0,1,0,0
0x7bed150aa2dcb49dd64ce49a28b39ece250b84bb,0,,EOA,9,502.0466667,0.01792662,0,3,0,2,0.75,0,0,0
0xa3553c786885eb06e0cf95369cc3d53029e1c26c,0,,EOA,15,2828.053333,0.005304002,0,11,0,0.363636364,3.666666667,0,0,0
0x74c5b99e241832f36e6e6be1155b76f91d3c08f9,0,,EOA,7,2581.78,0.002711308,0,3,0,1.333333333,1.333333333,0,0,0
0xa426a3dfcf892f6615fc11382af6dd70ec8d2dc5,0,,EOA,3,0.01,300,0,1,0,2,1,0,0,0
0xf242e1d2fedbe5f354adf33e89fe936217d4f903,0,,EOA,9,351.9,0.025575448,0,3,0,2,1,0,0,0
0xadc0a53095a0af87f3aa29fe0715b5c28016364e,2,aave: swap collateral adapter v3,CA,254482,15072.92,16.88339088,0,117312,0,1.000076718,26.125,0,0.030733575,0.70545064
0x5a7b41607c0e61baed1889d803a28d7d02ceec23,1,fake_phishing637659,CA,1,0,1,0,0,0,0,0,1,0,0
0x8ebe9c6a6f49493fea3583b71535ad5d6c983905,1,fake_phishing607892,CA,1,0,1,0,0,0,0,0,1,0,0
0x65cca37d26f5d0889ebe8f9862026a516e06970b,0,,EOA,7,2575.876667,0.002717521,0,3,0,1.333333333,1.333333333,0,0,0
0xa70d0e75b8024b02b76673d594478061707b89fc,1,fake_phishing639271,CA,1,0,1,0,0,0,0,0,1,0,0
0x5490f092475c9086387421c8dea06766bd97fb07,0,,EOA,7,2897.506667,0.00241587,0,3,0,1.333333333,1.333333333,0,0,0
0xe545b7eaa102d78548e4b6d2edb5d75d347e3e37,0,,EOA,7,2380.343333,0.002940752,0,3,0,1.333333333,1.333333333,0,0,0
0x70fb730fafbfca434c81d9902ae66c7a51896210,0,,EOA,2,5.92,0.337837838,0,0,0,0,0,0,0.5,0
0x43f7e021c13746bd140adb37e6267f2de696e2a8,1,fake_phishing994117,CA,1,0,1,0,0,0,0,0,1,0,0
0x10e6dffa7580f12f94ab140d5773bcafc80ad2d7,0,,EOA,3,239.7133333,0.012514948,1,0,1,0,0,0,0.666666667,0
0x054789d8045b834f05d73225ed1e86c24288a360,0,,CA,38,3841.716667,0.009891411,0,0,0,0,0,0,1,0
0x6b43b6ea829d38786cd27a490b3546e6fa19a4fb,0,,EOA,3,0.01,300,0,1,0,2,1,0,0,0
0x28cb00348bf8f643d440cb82e825e88e416c81cb,1,fake_phishing638783,CA,1,0,1,0,0,0,0,0,1,0,0
0xd6da83cffc7fd846b0e5305184f129f832f555e4,0,,EOA,8,2871.603333,0.0027859,0,4,0,1,1.666666667,0,0,0
0x943789c73bdf27184eed21e78089850694dfdebf,1,fake_phishing638910,CA,1,0,1,0,0,0,0,0,1,0,0
0x77ff6355d5d00dff9a7e5610b991ab1638b23438,0,,EOA,6,0.02,300,0,2,0,2,1,0,0,0
