Period,Total_Tx,Phishing_Tx_Count,Phishing_Tx_Pct,Sub_L0,Sub_L1,Sub_L2,Spender_L0,Spender_L1,Spender_L2,Unlabeled_Relayer_Count
2023-01,86649,573,0.006612886473011806,0.9815000750152916,0.005401100993664093,0.013098823991044329,0.02946369836928297,0.004166233886138329,0.9663700677445787,0
2023-02,35112,1060,0.030189109136477557,0.9563397129186603,0.029505582137161084,0.014154704944178628,0.09270334928229665,0.028423331054910003,0.8788733196627934,0
2023-03,40281,1498,0.03718874903800799,0.9481144956679328,0.035724038628633846,0.01616146570343338,0.046125965095206174,0.035128224224820634,0.9187458106799732,0
2023-04,33310,1583,0.04752326628640048,0.9383068147703393,0.04650255178625037,0.015190633443410387,0.04977484238967277,0.038997298108676075,0.9112278595016512,0
2023-05,35780,1422,0.03974287311347121,0.945528228060369,0.038904415874790384,0.015567356064840693,0.04871436556735607,0.036724427054220236,0.9145612073784237,0
2023-06,33840,1306,0.03859338061465721,0.9434397163120567,0.037559101654846334,0.019001182033096926,0.06569148936170213,0.03221040189125295,0.9020981087470449,0
2023-07,35356,1564,0.04423577327752008,0.9401798846023306,0.041888222649621,0.017931892748048423,0.06669306482633783,0.03609005543613531,0.8972168797375268,0
2023-08,38449,2119,0.05511196650107935,0.9287887851439569,0.05368150016905511,0.017529714686987958,0.07149730812244792,0.04689328721163099,0.8816094046659211,0
2023-09,36185,2136,0.05902998480033163,0.9266823269310488,0.05880889871493713,0.014508774354014094,0.06497167334530883,0.052480309520519554,0.8825480171341716,0
2023-10,38891,1717,0.04414903190969633,0.9356920624308966,0.0438919030109794,0.020416034558123988,0.06939908976369855,0.03962356329227842,0.8909773469440231,0
2023-11,38148,3084,0.08084303240012583,0.9027996225228059,0.07869350948935724,0.018506867987836847,0.0688109468386285,0.06770997168921045,0.863479081472161,0
2023-12,40531,2481,0.06121240531938516,0.9265500481113222,0.05733882707063729,0.01611112481804051,0.10256346993659174,0.04046285559201599,0.8569736744713923,0
2024-01,45439,3005,0.06613261735513545,0.916525451704483,0.063777812011708,0.019696736283809062,0.07645414731838289,0.04920882941966152,0.8743370232619556,0
2024-02,93471,2923,0.03127173133913192,0.957205978324828,0.030244674818927796,0.012549346856244183,0.03434220239432551,0.022723625509516322,0.9429341720961582,0
2024-03,80643,4264,0.052875017050456954,0.9323809878104733,0.051758987140855375,0.015860025048671303,0.15764542489738725,0.03617176940342001,0.8061828056991928,0
2024-04,99682,2789,0.027978973134567927,0.957795790614153,0.026233422282859492,0.0159707871029875,0.05265745069320439,0.01169719708673582,0.9356453522200598,0
2024-05,114979,2650,0.02304768696892476,0.9693422277111473,0.02116038580958262,0.009497386479270127,0.02926621383035163,0.01586376642691274,0.9548700197427357,0
2024-06,96340,2980,0.030932115424538095,0.9598193896616151,0.030558438862362466,0.00962217147602242,0.03167946854888935,0.021154245380942495,0.9471662860701682,0
2024-07,109411,1899,0.017356572922283865,0.9727358309493561,0.01724689473636106,0.010017274314282842,0.27152662894955715,0.011205454661779895,0.7172679163886629,0
2024-08,69744,1037,0.014868662537279193,0.9655024088093599,0.014839986235375085,0.01965760495526497,0.06447866483138334,0.008158407891718284,0.9273629272768984,0
2024-09,52601,1258,0.023915895135073476,0.9467310507404803,0.023573696317560504,0.02969525294195928,0.1393509629094504,0.01667268683104884,0.8439763502595008,0
